Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2025,0.43346875499370313,0.34005400310951184,0.03931128139037894,0.023840796874796347,2.2608955940568554,2.0317188978526244,1.9963929597596977,0.03532593809292667,0.44083772382859604,0.2645026342971576,0.17633508953143842,0.012684178458502877,0.005,0.024838387337399098,0.7903181797404446,0.07480958969912294,0.003922178619854361,0.43339911412457066,0.33998328767578984,0.030636983377465902,0.02383696491656652,2.2608955940568554,2.0315039732071853,1.9963929597596977,0.03511101344748785,0.44083772382859604,0.2645026342971576,0.17633508953143842,0.012680779458256172,0.005,0.024834489442783953,0.7903556374315263,0.07479319646886283,0.003921441035548414
2026,0.4631682408320487,0.3506556351911037,0.04109228632661936,0.025474263263113882,2.1355351957903386,1.9954510090754076,1.8594143329917179,0.1360366760836898,0.4602014379977013,0.2761208627986208,0.18408057519908053,0.01811158157915126,0.007,0.03057955630289083,0.8189361880524225,0.08241641346318417,0.004360053329723503,0.46329217283745944,0.35061859564205705,0.03183743811739021,0.025481077998528476,2.134989725030424,1.9977106032095724,1.8641586690538756,0.13355193415569672,0.4513850932942475,0.27083105597654844,0.180554037317699,0.01805356889130638,0.007,0.030609529436307775,0.8192419046689682,0.08244528335933796,0.004359556571825662
2027,0.48161919368568196,0.3572343028371135,0.04151075830376893,0.027452292880311716,2.0448402009316924,1.9646528650911195,1.7578290995593608,0.20682376553175857,0.47835183562055233,0.28701110137233143,0.19134073424822093,0.021881017355536447,0.009,0.03456715345292451,0.8358777808486242,0.08712218345970334,0.0046400535152661265,0.48199386678977235,0.35723548919838816,0.03190317404281503,0.027473648888204222,2.0441073371537817,1.9697151138810802,1.7679463857495503,0.2017687281315299,0.4602682523403856,0.27616095140423136,0.18410730093615427,0.021753774994535777,0.009,0.03463975717086813,0.836525321316133,0.08721555028405736,0.0046402568512936716
2028,0.49455177727483923,0.36162531324265307,0.04107747062044814,0.02868399547497043,1.9774598366061453,1.938880518586399,1.6795933066059185,0.25928721198048055,0.4964442166670446,0.2978665300002268,0.19857768666681783,0.02475324411717511,0.01,0.03741170192725702,0.8479009596356386,0.09033231725023759,0.004840344793080991,0.4951929841240176,0.3616564592758366,0.03122686957886055,0.02872118572170443,1.9765344842491372,1.9467955878632304,1.6952341215625535,0.25156146630067694,0.4688339378109732,0.28130036268658387,0.1875335751243893,0.024548510346961212,0.01,0.03753902679731644,0.8489272367946581,0.09049870839387314,0.004841414116565433
2029,0.5042091865012697,0.3646488938136449,0.041829194112145335,0.029748329774383502,1.9259407225432574,1.917172558674959,1.6177983159643328,0.2993742427106262,0.513570677631541,0.3081424065789246,0.20542827105261635,0.027045971084758747,0.01,0.03944642524088091,0.8572906080957708,0.09261449835311757,0.004992285972153574,0.5051293481068699,0.36470091971936824,0.03180294375680853,0.029802619807753963,1.924976173062394,1.9280372210778614,1.639211397235942,0.28882582384191946,0.4762746263774202,0.2857647758264521,0.19050985055096809,0.026755294408032454,0.01,0.03964360600038408,0.8587326696261744,0.0928645757369536,0.004994296509931056
2030,0.5117056059613958,0.3667410155001915,0.04144303702681345,0.03070232044681844,1.886567311561911,1.8985754806031436,1.5678870346323446,0.33068844597079916,0.5311337948826107,0.31868027692956646,0.21245351795304424,0.02893343694197638,0.01,0.04104136694018274,0.8650733427102997,0.09436661991541392,0.00511191163537286,0.5129129462930807,0.366805038961393,0.03128256059441499,0.030774761510871326,1.8857246864678252,1.9124715568843529,1.5952900155818845,0.3171815413024684,0.4840577848099013,0.29043467088594077,0.19362311392396053,0.028549523431432404,0.01,0.04131342314516141,0.866963149665223,0.09470574767500815,0.0051148960879679965
2031,0.5177879598966977,0.3682165288872543,0.04111236401579779,0.03210283431228224,1.8571663938004244,1.8831496699563406,1.528066389891852,0.3550832800644885,0.5485000065142871,0.3291000039085723,0.2194000026057148,0.030506475375385714,0.01,0.042307664300230044,0.8718483047847339,0.09578679286980799,0.00520929664745833,0.519288047035947,0.36828399562565933,0.030845709993935252,0.0321958404316246,1.8565997184033527,1.9001515807877556,1.5616601097122014,0.3384914710755542,0.49156601448525217,0.2949396086911513,0.19662640579410087,0.03002312358310337,0.01,0.04265723108005069,0.874214034547296,0.09621899336858122,0.005213258817710968
2032,0.522896337643589,0.36928083283529856,0.040801601226329254,0.03294244758994881,1.8362016850244878,1.8705299083948033,1.4963574120363983,0.3741724963584049,0.5664071216468157,0.3398442729880895,0.22656284865872625,0.03183314518149476,0.01,0.043311404511827994,0.8779122548751987,0.09697872223866193,0.005290763480018102,0.5246932649322202,0.36934390013803137,0.03044795016401674,0.03305565473808728,1.8360583378599045,1.8907066279611198,1.5363274916401368,0.35437913632098306,0.49955141036627937,0.29973084621976764,0.19982056414651175,0.031245073721388475,0.01,0.04373907211312432,0.8807788429223593,0.09750698136586265,0.005295692413880516
2033,0.5272550765396847,0.37004225361979337,0.040509007530543976,0.0342715558845056,1.821287449717747,1.8600074191993143,1.4706840778955113,0.38932334130380314,0.5843389530370595,0.3506033718222358,0.23373558121482374,0.03296854628125496,0.01,0.04411798205244863,0.8834088508469476,0.09800296588608577,0.005360038792811931,0.5293518149359366,0.3700937752548534,0.030083063642809278,0.03440784459908053,1.8217052394307451,1.883420349035184,1.5171967592816948,0.36622358975348923,0.5075141335817505,0.3045084801490503,0.2030056534327002,0.0322711807036683,0.01,0.04462339248597176,0.886798517711635,0.09862969246266236,0.005365915609013518
2034,0.5309975667684638,0.37055278315039664,0.04017527590170197,0.03557681080373711,1.811405028858147,1.8510943841498921,1.449754714142772,0.40133967000712006,0.6027505245256245,0.3616503147153748,0.2411002098102497,0.033948263099890505,0.01,0.044759209714794794,0.8884536127386334,0.09889228706164062,0.005419402431921119,0.5333961758317197,0.3705863714998016,0.02968883114679352,0.035737518295278,1.812514897328346,1.8777973397142569,1.5029564558644353,0.3748408838498216,0.5159307357731847,0.3095584414639108,0.2063722943092739,0.03313770485663297,0.01,0.04534076822556185,0.8923861077017881,0.09961920976184252,0.005426203197219267
2035,0.5342281108667842,0.3708586039503383,0.03984807478955344,0.03632748399183192,1.8055171138215027,1.8434195921994443,1.4325461746069958,0.4108734175924484,0.6216182320241778,0.37297093921450675,0.24864729280967102,0.03480071589495886,0.01,0.04526540687159879,0.8931218085641528,0.09967255174930671,0.005470627227984056,0.5369300652688777,0.37086862648466656,0.02931101226302803,0.036511217514570767,1.8074407778032724,1.8734599772724416,1.4925660219947319,0.3808939552777098,0.524791259680901,0.31487475580854063,0.2099165038723604,0.03387362244197577,0.01,0.0459208259189514,0.8976147599040829,0.10050094039806298,0.005478326254710826
2036,0.537006997328945,0.37098973973160504,0.03963648647284943,0.037053454189360985,1.802313074065819,1.836559775022414,1.4180294211571551,0.418530353865259,0.6404727548477733,0.38428365290866406,0.25618910193910926,0.035551570074016145,0.01,0.04566921308077715,0.8974502257406249,0.10035459042446417,0.005514939079218573,0.540013334779863,0.37097126643944406,0.029058117544504426,0.03726089202636685,1.805160246112465,1.869977723729669,1.4849776099219067,0.3850001138077622,0.5336377269842637,0.3201826361905582,0.21345509079370548,0.034504993994330185,0.01,0.04639622955681951,0.9025194676722563,0.10128546795358165,0.005523511759124723
2037,0.5394051118868358,0.3709826964804162,0.03950063634347299,0.03829773309852155,1.8012736820440471,1.8303027596555275,1.4055582033762217,0.42474455627930574,0.6595257977797089,0.39571547866782536,0.2638103191118835,0.03621976484129989,0.01,0.04598718786213988,0.9014751017344559,0.10095327888331504,0.005553504169294931,0.5427167687509463,0.3709314623104454,0.02888881360061287,0.03853286121850355,1.8051448431162311,1.8671343301587422,1.479532775289195,0.38760155486954734,0.5426867797117272,0.32561206782703633,0.21707471188469088,0.03505107072696502,0.01,0.04678323515689531,0.9071350390107484,0.10198739941795658,0.005562928448169798
2038,0.5416157444932435,0.37096046271531447,0.03944587467144292,0.038996303208557306,1.802782074372375,1.82499904656372,1.3950859268715317,0.4299131196921885,0.6794935791680723,0.40769614750084343,0.27179743166722886,0.03681794073366805,0.01,0.04622493317400511,0.9052238609441023,0.10150938332225613,0.0055886068893646465,0.5452341889033139,0.3708728319710718,0.028804722199762073,0.039256831604478216,1.8077734369283536,1.8652833122531445,1.4761871285783297,0.3890961836748148,0.5526438472500398,0.33158630835002384,0.22105753890001595,0.035524937532808706,0.01,0.0470866209454623,0.9114869131205126,0.10264729321339244,0.0055988650207148966
2039,0.5437350287028854,0.37098352892277814,0.03945885103296839,0.03969262638973163,1.8061401721249901,1.820625032286412,1.3861976885720313,0.4344273437143805,0.6999041392549312,0.41994248355295877,0.27996165570197246,0.0373609411269503,0.01,0.04640500245665329,0.9087094095302779,0.10204183125707901,0.0056215741776812385,0.5476625498283093,0.370856448074782,0.028790620244474218,0.03997933574105739,1.812339038351569,1.8644047136935817,1.4745295222533392,0.3898751914402426,0.5630158601637165,0.33780951609822985,0.22520634406548665,0.035941575829721586,0.01,0.04732951773452408,0.9155869406784318,0.10328435519686976,0.005632656037931384
2040,0.5457813296690737,0.37104878582042805,0.039476363574964105,0.04038778761936074,1.811110516387219,1.8170444327339474,1.3786398203143688,0.4384046124195785,0.7207844934547503,0.4324706960728502,0.28831379738190005,0.03785697445335287,0.01,0.046535591576451894,0.9119688492546385,0.10255707828549185,0.005652786551297686,0.5500208903871405,0.3708797919569885,0.028782593193959066,0.040701515326745596,1.818599215905101,1.864365507951183,1.4743092131560314,0.3900562947951515,0.5738166712484493,0.3442900027490695,0.22952666849937972,0.03630929582728275,0.01,0.047520133209551056,0.9194717589544674,0.10390511716251007,0.005664688016600075
2041,0.547721103177006,0.3711200986114719,0.03948521432803036,0.041079052145810285,1.8173881904354703,1.8140050454378565,1.3721275653481404,0.44187748008971617,0.7421010418122163,0.44526062508732983,0.2968404167248864,0.03831190535692561,0.01,0.04662262178687503,0.9150342394195043,0.10305050461696741,0.005682032041142052,0.5522758686086365,0.370907304998996,0.028768049995823875,0.041420659664772014,1.8262438007395803,1.8649118013134736,1.4752345597043977,0.389677241609076,0.5850154017253044,0.3510092410351826,0.2340061606901218,0.03663408823933954,0.01,0.047664368703108057,0.9231729279042282,0.1045048704663153,0.005694753361598556
2042,0.5496023866031193,0.37122214017988275,0.039488931477434125,0.041769751246498066,1.824911368033756,1.81153514909207,1.3665675050075858,0.4449676440844841,0.7639064383769502,0.4583438630261702,0.30556257535077996,0.038731420323722426,0.01,0.04667195559109847,0.9179247647330249,0.10353330075673436,0.005709935082819732,0.5544763463499484,0.3709641993419588,0.028749598558244823,0.042140172184607506,1.8352074410165766,1.8660763623891905,1.4772178451453666,0.388858517243824,0.596649326452017,0.35798959587121015,0.23865973058080683,0.03692175042796351,0.01,0.047768125614182214,0.9267090464828133,0.10509493665982539,0.0057234833658072574
2043,0.5514014612457735,0.3713434620902474,0.0394913726544223,0.04245788311936641,1.833178928353863,1.8093960651316308,1.3615518723722408,0.4478441927593898,0.7860450933027036,0.47162705598162225,0.3144180373210813,0.03912281408668035,0.01,0.04669202791971126,0.920628634080865,0.10399978920620458,0.005736403968050677,0.5565981829041247,0.3710394019653981,0.028731598201510916,0.04285803055339531,1.8449839281474607,1.8676109419085798,1.4798298791598596,0.38778106274872015,0.6085900816460018,0.365154048987601,0.2434360326584008,0.03717978586078987,0.01,0.04783999922243561,0.9300667687677636,0.10566948081914532,0.005750789821318519
2044,0.55304245918657,0.3714363879099466,0.03947617073673737,0.043137283487618396,1.8416119425450266,1.80721492511451,1.3566247354800334,0.4505901896344766,0.8083120117749885,0.48498720706499315,0.3233248047099953,0.03949189133974754,0.01,0.04668938634810046,0.9231374631946698,0.1044339716670375,0.005760768860924267,0.5585643914276839,0.37108559392552154,0.0286990384315544,0.043567993913862846,1.8549878538890225,1.8691258405916567,1.4825788950861178,0.38654694550553886,0.6206815980048415,0.3724089588029048,0.24827263920193665,0.037414221761648894,0.01,0.047886661657251604,0.9332360815817223,0.10621210088586508,0.005776003936147623
2045,0.5544992168362121,0.371477238488144,0.03294829600112395,0.043250912431257914,1.8500559767655667,1.8048589490053275,1.3516644698292835,0.45319447917604405,0.8306525115604717,0.49839150693628315,0.33226100462418856,0.039840941611262184,0.01,0.046666494880490676,0.9254672979030263,0.10482797744004628,0.005782802806277343,0.560348493062259,0.3710795724942216,0.02056826178018488,0.043707155504542614,1.8650602891678194,1.8704808865121008,1.4853255886677874,0.38515529784431335,0.6328911675000534,0.379734700500032,0.25315646700002137,0.03762752182872528,0.01,0.047910564240328884,0.9362320974056952,0.10671467963075344,0.005798901603310116
2046,0.5560161883537864,0.3715106200692751,0.03125190615579367,0.04392525171115377,1.8582173840271439,1.8043418497731873,1.3504273588150506,0.45391449095813685,0.8463167086868221,0.5077900252120933,0.33852668347472875,0.04010962743003241,0.01,0.046678189491375324,0.9279157521688823,0.10524665502057673,0.005803881100535353,0.5622431885182757,0.37107419876476516,0.019981995262517364,0.044417184415994584,1.8749012561403338,1.8741887234951518,1.492773927268392,0.3814147962267598,0.6368788814532362,0.38212732887194173,0.2547515525812945,0.037748524513749396,0.01,0.047983694409077814,0.9394113477843615,0.10725969346524196,0.005821031713893054
