Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2025,0.43346875499370313,0.34005400310951184,0.03931128139037894,0.023840796874796347,2.2608955940568554,2.0317188978526244,1.9963929597596977,0.03532593809292667,0.44083772382859604,0.2645026342971576,0.17633508953143842,0.012684178458502877,0.005,0.024838387337399098,0.7903181797404446,0.07480958969912294,0.003922178619854361,0.4221542452696186,0.3285910658493387,0.038285168503501714,0.023218523096696052,2.2608955940568554,1.9968797178227717,1.9963929597596977,0.00048675806307402203,0.44083772382859604,0.2645026342971576,0.17633508953143842,0.012121806724901832,0.005,0.024193387666789294,0.7965397332004912,0.07242767702598235,0.0038022639593221354
2026,0.4631682408320487,0.3506556351911037,0.04109228632661936,0.025474263263113882,2.1355351957903386,1.9954510090754076,1.8594143329917179,0.1360366760836898,0.4602014379977013,0.2761208627986208,0.18408057519908053,0.01811158157915126,0.007,0.03057955630289083,0.8189361880524225,0.08241641346318417,0.004360053329723503,0.45235766738879923,0.3436572702409765,0.04013317225073427,0.02487971151308791,2.0712313667373303,1.9451683021945014,1.8013890275595936,0.14377927463490775,0.4497372319628943,0.2698423391777366,0.17989489278515772,0.018239546964545272,0.007,0.03070008903577659,0.8161096048155718,0.08101729893635184,0.004261861734109815
2027,0.48161919368568196,0.3572343028371135,0.04151075830376893,0.027452292880311716,2.0448402009316924,1.9646528650911195,1.7578290995593608,0.20682376553175857,0.47835183562055233,0.28701110137233143,0.19134073424822093,0.021881017355536447,0.009,0.03456715345292451,0.8358777808486242,0.08712218345970334,0.0046400535152661265,0.4677224751644099,0.35331198740012315,0.04031300013442049,0.02666019596678264,1.8372146871634893,1.8555339806887572,1.5634334316999068,0.29210054898885035,0.45630209243930414,0.27378125546358245,0.18252083697572166,0.023884859002784115,0.009,0.03655441643018779,0.820770892653352,0.08388570923480163,0.004556707914331722
2028,0.49455177727483923,0.36162531324265307,0.04107747062044814,0.02868399547497043,1.9774598366061453,1.938880518586399,1.6795933066059185,0.25928721198048055,0.4964442166670446,0.2978665300002268,0.19857768666681783,0.02475324411717511,0.01,0.03741170192725702,0.8479009596356386,0.09033231725023759,0.004840344793080991,0.48002807675032844,0.3607384639398184,0.039871132054882276,0.027841629625971122,1.695734208471872,1.805172079338427,1.4175672109118929,0.3876048684265341,0.4636116625999654,0.2781669975599792,0.18544466503998616,0.0278912856077464,0.01,0.040557371936234904,0.8250234279867403,0.08627170508613007,0.004772195878714493
2029,0.5042091865012697,0.3646488938136449,0.041829194112145335,0.029748329774383502,1.9259407225432574,1.917172558674959,1.6177983159643328,0.2993742427106262,0.513570677631541,0.3081424065789246,0.20542827105261635,0.027045971084758747,0.01,0.03944642524088091,0.8572906080957708,0.09261449835311757,0.004992285972153574,0.489786673823603,0.36654677788837564,0.04063270246040611,0.028897405365918796,1.5930635749287478,1.7694701872200422,1.3108571363708468,0.45861305084919535,0.47034406426316855,0.2822064385579011,0.18813762570526743,0.031038827811997363,0.01,0.04349010145426784,0.8284564120323167,0.088042916032543,0.004938998963221149
2030,0.5117056059613958,0.3667410155001915,0.04144303702681345,0.03070232044681844,1.886567311561911,1.8985754806031436,1.5678870346323446,0.33068844597079916,0.5311337948826107,0.31868027692956646,0.21245351795304424,0.02893343694197638,0.01,0.04104136694018274,0.8650733427102997,0.09436661991541392,0.00511191163537286,0.49752462237056555,0.3710161076092008,0.04029451916579211,0.029851461462072244,1.5144411338093795,1.7415312342674332,1.2278120604423592,0.5137191738250739,0.477715122278367,0.2866290733670202,0.19108604891134678,0.03360880102089271,0.01,0.0458213608769196,0.8314074837180057,0.08939700807602616,0.005070906205316451
2031,0.5177879598966977,0.3682165288872543,0.04111236401579779,0.03210283431228224,1.8571663938004244,1.8831496699563406,1.528066389891852,0.3550832800644885,0.5485000065142871,0.3291000039085723,0.2194000026057148,0.030506475375385714,0.01,0.042307664300230044,0.8718483047847339,0.09578679286980799,0.00520929664745833,0.5038715798418757,0.37452591793020357,0.04000740343944493,0.03124001565473583,1.4533717909304762,1.7194645110032458,1.1623439575569443,0.5571205534463015,0.4850463889558865,0.2910278333735319,0.1940185555823546,0.035737245564838434,0.01,0.047706717320595816,0.8341230260035728,0.09048465470885973,0.005178282297942264
2032,0.522896337643589,0.36928083283529856,0.040801601226329254,0.03294244758994881,1.8362016850244878,1.8705299083948033,1.4963574120363983,0.3741724963584049,0.5664071216468157,0.3398442729880895,0.22656284865872625,0.03183314518149476,0.01,0.043311404511827994,0.8779122548751987,0.09697872223866193,0.005290763480018102,0.5091720025176605,0.3772913733218796,0.039730691356453046,0.03207780882881568,1.4060445806590371,1.7018239013025709,1.1102527014139865,0.5915711998885844,0.49298646540841784,0.29579187924505074,0.1971945861633671,0.03751697576127129,0.01,0.04923278954687036,0.8367192692214438,0.09138072734026922,0.005267194224806849
2033,0.5272550765396847,0.37004225361979337,0.040509007530543976,0.0342715558845056,1.821287449717747,1.8600074191993143,1.4706840778955113,0.38932334130380314,0.5843389530370595,0.3506033718222358,0.23373558121482374,0.03296854628125496,0.01,0.04411798205244863,0.8834088508469476,0.09800296588608577,0.005360038792811931,0.5136380710497295,0.37947286484258885,0.039462812998750714,0.03338644256498622,1.3687330618687803,1.6873957334408471,1.0681359989802293,0.619259734460618,0.5009951048142517,0.30059706288855104,0.20039804192570065,0.039022709665508595,0.01,0.0504849145673504,0.8392060689012572,0.09213506028902038,0.00534169040605759
2034,0.5309975667684638,0.37055278315039664,0.04017527590170197,0.03557681080373711,1.811405028858147,1.8510943841498921,1.449754714142772,0.40133967000712006,0.6027505245256245,0.3616503147153748,0.2411002098102497,0.033948263099890505,0.01,0.044759209714794794,0.8884536127386334,0.09889228706164062,0.005419402431921119,0.5174122693879774,0.38116740196921467,0.03914741230189437,0.03466658591722396,1.3396384949736968,1.6754543601594132,1.0339528760510173,0.6415014841083959,0.5094760315377993,0.3056856189226796,0.2037904126151197,0.04030198118089613,0.01,0.05150464831059978,0.8416143085126432,0.09277905576888669,0.00540440330771574
