Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2025,0.43346875499370313,0.34005400310951184,0.03931128139037894,0.023840796874796347,2.2608955940568554,2.0317188978526244,1.9963929597596977,0.03532593809292667,0.44083772382859604,0.2645026342971576,0.17633508953143842,0.012684178458502877,0.005,0.024838387337399098,0.7903181797404446,0.07480958969912294,0.003922178619854361,0.46208194975396627,0.3419445418878855,0.04190621202318721,0.02541451803704864,2.2608955940568554,2.112486171196589,1.9963929597596977,0.1160932114368915,0.44083772382859604,0.2645026342971576,0.17633508953143842,0.01424278047958611,0.005,0.026607930050625082,0.8378290900786585,0.0809227338320449,0.004232502791660911
2026,0.4631682408320487,0.3506556351911037,0.04109228632661936,0.025474263263113882,2.1355351957903386,1.9954510090754076,1.8594143329917179,0.1360366760836898,0.4602014379977013,0.2761208627986208,0.18408057519908053,0.01811158157915126,0.007,0.03057955630289083,0.8189361880524225,0.08241641346318417,0.004360053329723503,0.49540195447227453,0.3524360340595234,0.043952061400780194,0.027247111105086312,2.142372592528762,2.0819147393014092,1.8668731509311596,0.2150415883702495,0.45916573599600424,0.27549944159760253,0.1836662943984017,0.019801870121622277,0.007,0.03252836684802175,0.8715043390607013,0.0893717218669828,0.004714003924307908
2027,0.48161919368568196,0.3572343028371135,0.04151075830376893,0.027452292880311716,2.0448402009316924,1.9646528650911195,1.7578290995593608,0.20682376553175857,0.47835183562055233,0.28701110137233143,0.19134073424822093,0.021881017355536447,0.009,0.03456715345292451,0.8358777808486242,0.08712218345970334,0.0046400535152661265,0.51574994869864,0.358647430146441,0.04445248807833578,0.029397742180693964,2.0597849885122628,2.0557684714097255,1.7740986434799615,0.28166982792976414,0.47614390838716886,0.2856863450323013,0.19045756335486758,0.023540736308937583,0.009,0.036520439866475796,0.8915868439270925,0.09452478527931898,0.005015256049937848
2028,0.49455177727483923,0.36162531324265307,0.04107747062044814,0.02868399547497043,1.9774598366061453,1.938880518586399,1.6795933066059185,0.25928721198048055,0.4964442166670446,0.2978665300002268,0.19857768666681783,0.02475324411717511,0.01,0.03741170192725702,0.8479009596356386,0.09033231725023759,0.004840344793080991,0.5298768529168871,0.36261273579335623,0.04401157140327664,0.030732847156488566,2.0003801383552604,2.0339232151348248,1.7045647635765935,0.3293584515582311,0.4930256246311119,0.29581537477866704,0.1972102498524448,0.026329513426040393,0.01,0.03931984139314777,0.9059914782695719,0.0980330669641459,0.005227964520661266
2029,0.5042091865012697,0.3646488938136449,0.041829194112145335,0.029748329774383502,1.9259407225432574,1.917172558674959,1.6177983159643328,0.2993742427106262,0.513570677631541,0.3081424065789246,0.20542827105261635,0.027045971084758747,0.01,0.03944642524088091,0.8572906080957708,0.09261449835311757,0.004992285972153574,0.5403667197830929,0.3652121160896209,0.04482882307320539,0.0318816219488394,1.9565039432813198,2.015705319176831,1.6511878463427514,0.36451747283407954,0.5088601615642807,0.30531609693856837,0.20354406462571234,0.028516119748584805,0.01,0.04129609392128424,0.9173512733005377,0.1005401871022516,0.005387834977418027
2030,0.5117056059613958,0.3667410155001915,0.04144303702681345,0.03070232044681844,1.886567311561911,1.8985754806031436,1.5678870346323446,0.33068844597079916,0.5311337948826107,0.31868027692956646,0.21245351795304424,0.02893343694197638,0.01,0.04104136694018274,0.8650733427102997,0.09436661991541392,0.00511191163537286,0.5484801546825111,0.36690297425200963,0.044421407727736575,0.03290879135863488,1.9243505220372807,2.0002491632713997,1.609255584867383,0.39099357840401655,0.5251582286164961,0.31509493716989756,0.2100632914465985,0.030288769246977335,0.01,0.04282420869581326,0.9268340223127486,0.10247320708570073,0.0055128036913132845
2031,0.5177879598966977,0.3682165288872543,0.04111236401579779,0.03210283431228224,1.8571663938004244,1.8831496699563406,1.528066389891852,0.3550832800644885,0.5485000065142871,0.3291000039085723,0.2194000026057148,0.030506475375385714,0.01,0.042307664300230044,0.8718483047847339,0.09578679286980799,0.00520929664745833,0.555048685179733,0.3680077497451389,0.0440708656032708,0.03441299744336411,1.901730363513897,1.987720835666219,1.5769986980848687,0.41072213758135034,0.5412194423817137,0.32473166542902815,0.21648777695268556,0.03174469338311243,0.01,0.044022556786796056,0.935118011313629,0.10404865567977048,0.005613991399690916
2032,0.522896337643589,0.36928083283529856,0.040801601226329254,0.03294244758994881,1.8362016850244878,1.8705299083948033,1.4963574120363983,0.3741724963584049,0.5664071216468157,0.3398442729880895,0.22656284865872625,0.03183314518149476,0.01,0.043311404511827994,0.8779122548751987,0.09697872223866193,0.005290763480018102,0.5605603801361054,0.3687338956226113,0.043740526462020306,0.03531528061114976,1.887152990333873,1.9778158985256376,1.5524562618438487,0.42535963668178883,0.5578278808167073,0.3346967284900243,0.22313115232668299,0.03295540519973543,0.01,0.04495972123713826,0.9425440780723042,0.10537889635070932,0.0056983128954679755
2033,0.5272550765396847,0.37004225361979337,0.040509007530543976,0.0342715558845056,1.821287449717747,1.8600074191993143,1.4706840778955113,0.38932334130380314,0.5843389530370595,0.3506033718222358,0.23373558121482374,0.03296854628125496,0.01,0.04411798205244863,0.8834088508469476,0.09800296588608577,0.005360038792811931,0.5652641023599915,0.3691887270108467,0.04342924098431814,0.03674214105129212,1.878212657054782,1.9698454257999565,1.5335510115704247,0.4362944142295317,0.5744360758072619,0.34466164548435707,0.2297744303229048,0.03397792898283884,0.01,0.04570340702459262,0.9492821768201034,0.10652882994001896,0.005769808426110478
2034,0.5309975667684638,0.37055278315039664,0.04017527590170197,0.03557681080373711,1.811405028858147,1.8510943841498921,1.449754714142772,0.40133967000712006,0.6027505245256245,0.3616503147153748,0.2411002098102497,0.033948263099890505,0.01,0.044759209714794794,0.8884536127386334,0.09889228706164062,0.005419402431921119,0.5693073505735873,0.3694221120737252,0.04307379414439762,0.03814356495110678,1.8739431608826658,1.96333975980976,1.5190186225891678,0.44432113722059224,0.5915408971558304,0.3549245382934981,0.2366163588623322,0.03484874102583059,0.01,0.04628550854799181,0.9554682819107922,0.10753345551838053,0.005830931734301327
