Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2025,0.7686741254008067,0.3492551043955332,0.06994934541147341,0.03997106180295859,2.6041647489338056,2.7843280061227977,2.1475723184457265,0.6367556876770715,0.7609873841467987,0.4565924304880792,0.3043949536587195,0.05212682892310881,0.005,0.04201120774975584,1.3645549860044563,0.14005718230668285,0.007741741775437121,0.7784794714717516,0.35470826590720606,0.06992004268783823,0.03995431767561858,2.5957260615921074,2.806912171787427,2.139324903827537,0.66758726795989,0.7606685962742841,0.4564011577645704,0.30426743850971366,0.05259295146283949,0.005,0.042445289611061254,1.36071570470568,0.13533414064427018,0.007852959494109408
2026,0.7690615706996282,0.35031683112174417,0.06998460293366617,0.03999121679259954,2.5745049481340567,2.774249380393397,2.1170150586703724,0.6572343217230245,0.7624831491061405,0.45748988946368424,0.3049932596424562,0.05254552476494044,0.007,0.042726339064571406,1.361105037883411,0.14026652329092926,0.007756708247547193,0.7785317852187074,0.35544097261873425,0.06995973014149799,0.03997700406073923,2.5742748232367982,2.797972458810852,2.1142683430190923,0.6837041157917598,0.7666774670295098,0.46000648021770585,0.30667098681180394,0.052924517615849945,0.007,0.043047130680162776,1.3580019547246687,0.13549797635664257,0.007862283430208523
2027,0.7683042141883901,0.35082182213773583,0.0699156834911435,0.039951817532452596,2.5443858362851604,2.7605699040688756,2.084709531129276,0.6758603729395997,0.7661271752598073,0.45967630515588437,0.30645087010392297,0.052948374503783056,0.009,0.04340114169282562,1.3578072574144562,0.1401410812052295,0.007759618746743593,0.7775292229668206,0.3556763113130648,0.06989519265980905,0.03994010876550043,2.551897808085705,2.7854908071231654,2.086999809571025,0.6984909975521404,0.7748299975244664,0.4648979985146798,0.3099319990097866,0.0532495195989079,0.009,0.043619488941437946,1.3553557240976355,0.1353625652632071,0.007860714197231597
2028,0.7676589718775967,0.35109205391608433,0.0698569664408613,0.039918261339920845,2.5260726013816996,2.751014781551137,2.06295226528059,0.6880625162705474,0.7718672268351829,0.4631203361011097,0.30874689073407324,0.05321665940502254,0.01,0.04374779927231524,1.3556226687407988,0.14003159028459256,0.007760075439147793,0.7766265593936482,0.35570534793690023,0.06984055589608168,0.039908884158878125,2.5400043747440666,2.776619058175781,2.0689718871422227,0.7076471710335581,0.7850541460030733,0.471032487601844,0.3140216584012293,0.053457218900232036,0.01,0.04387845827700475,1.3536716820628052,0.13523815475536502,0.007857021229123028
2029,0.766811934450446,0.3511777314657545,0.06977988603499059,0.03987421538508007,2.5112614775559763,2.741942061221965,2.0439675811454507,0.6979744800765144,0.7788231606842095,0.46729389641052566,0.3115292642736839,0.05344180708728404,0.01,0.04383206751588186,1.353796456439342,0.1397896676801476,0.007757330531842948,0.7755398675195079,0.3555811482210628,0.06976742179470262,0.03986709323014981,2.5308015328317306,2.7679833008906014,2.0529169549990884,0.715066345891513,0.796474296387737,0.47788457783264227,0.31858971855509477,0.053633130021089506,0.01,0.04388331198370665,1.3522496775460793,0.13498661273273208,0.00785060506147207
2030,0.7659052734072169,0.35116007891547657,0.06969737988005674,0.03982707031676008,2.4994565873179115,2.7336428759586435,2.0275421239167084,0.7061007520419352,0.7865241056686724,0.47191446340120335,0.314609642267469,0.053631394166828474,0.01,0.043882626494004824,1.3522636924823446,0.13955347637890794,0.007753031616814407,0.7744119475323935,0.35538135750549127,0.06968875698775209,0.039822143213310845,2.5239369465977166,2.759931692780844,2.038770763174099,0.7211609296067454,0.8086103057060292,0.48516618342361756,0.32344412228241165,0.053782900041419,0.01,0.04386191540017935,1.3510420809520294,0.13474075211208278,0.007843066861552889
2031,0.765102689308962,0.35112196130369966,0.06962434472711554,0.03978533800551435,2.4909359029322378,2.7265938878687397,2.0138175239265546,0.7127763639421849,0.7951972983428053,0.4771183790056831,0.3180789193371222,0.05378895989459129,0.01,0.04390166051930179,1.3509932817552883,0.13934945660496262,0.007748939483613259,0.7734058196266284,0.35518608706391624,0.06961947470795854,0.03978255539707279,2.5197853552073837,2.752973128037835,2.0267663803169653,0.7262067477208697,0.8216982914840302,0.4930189748904182,0.328679316593612,0.05390887412064975,0.01,0.04381564111645069,1.3500285451137863,0.13452612217233068,0.007836127131978995
2032,0.7644636486810122,0.35110607380878933,0.06956619202997211,0.0397521103696193,2.4852672108489395,2.7208058132132096,2.0023969985393517,0.7184088146738579,0.8047836871826465,0.4828702123095878,0.32191347487305866,0.053921641832651065,0.01,0.04389564306138926,1.3499259346671941,0.13918557155733563,0.007745850291712,0.7725778314494127,0.3550344199234783,0.06956500840469579,0.039751434268687075,2.517991875947446,2.7471376108857037,2.0165809820836076,0.7305566288020962,0.835684823106397,0.5014108938638383,0.3342739292425587,0.05401711183114549,0.01,0.04375018532763912,1.3491593048558888,0.13435007013373065,0.007830521147503457
2033,0.7639800178242221,0.3511278494196536,0.06952218162200421,0.03972696422719511,2.4815952248627995,2.7160035933843787,1.9925792586712912,0.7234243347130873,0.8150266103191809,0.48901596619150844,0.32601064412767244,0.0540384366587025,0.01,0.04387352026874601,1.3489882239911632,0.1390572010455412,0.007743918782956778,0.7719173885663619,0.3549389167474684,0.06952463966372135,0.039728369076119464,2.517760076370947,2.7421653048348698,2.0075718591245213,0.7345934457103483,0.8503136954107096,0.5101882172464258,0.34012547816428373,0.05411572477504083,0.01,0.04367381430286375,1.3483686404039485,0.13420800035237024,0.007826355609014155
2034,0.7635549961793298,0.35115259147143424,0.069483504652319,0.03970486586024097,2.4791647269909642,2.711717359548276,1.9837644333961977,0.7279529261520784,0.8256671559912777,0.4954002935947665,0.3302668623965112,0.054143929478640815,0.01,0.04384018228737279,1.3481427254481018,0.1389447488303463,0.007742284920636944,0.7713236177314593,0.3548614110287375,0.06948957555189278,0.03970833519701111,2.518381136007593,2.7375932286174356,1.9991869040419314,0.7384063245755041,0.8653237199427691,0.5191942319656615,0.3461294879771076,0.05420852504005867,0.01,0.04359078913469688,1.3476256938184616,0.13408076261939364,0.00782270860892344
