year,age,hours_per_week,weeks_worked,weight
2023,66,0,0,170133
2023,68,0,0,170133
2023,52,0,0,186971
2023,51,40,52,175774
2023,78,0,0,133570
2023,65,40,45,160711
2023,68,35,45,138692
2023,74,0,0,145328
2023,74,12,26,140884
2023,76,0,0,122868
2023,75,0,0,131451
2023,63,32,34,143401
2023,64,40,52,134736
2023,41,0,0,219022
2023,52,0,0,160276
2023,53,0,0,175626
2023,85,0,0,133570
2023,71,0,0,151751
2023,37,60,52,216798
2023,39,60,52,240609
2023,60,0,0,156703
2023,57,0,0,165461
2023,54,0,0,160640
2023,67,0,0,154246
2023,63,32,52,150179
2023,50,0,0,160640
2023,59,0,0,165461
2023,69,0,0,0
2023,69,22,6,0
2023,43,0,0,0
2023,36,60,52,0
2023,20,20,16,0
2023,76,0,0,127675
2023,66,0,0,138692
2023,58,40,52,153031
2023,85,0,0,138066
2023,85,0,0,127965
2023,57,30,16,143930
2023,85,0,0,138066
2023,80,0,0,127965
2023,80,0,0,127675
2023,66,0,0,154340
2023,80,0,0,138066
2023,80,0,0,127965
2023,68,30,30,138377
2023,64,65,52,143401
2023,63,40,52,134736
2023,69,19,52,140340
2023,41,40,52,240609
2023,46,40,52,140491
2023,48,40,52,136501
2023,54,40,52,144056
2023,29,40,52,249254
2023,32,45,52,237172
2023,32,20,12,322248
2023,54,25,52,160276
2023,74,8,48,145658
2023,75,4,30,141204
2023,52,50,52,0
2023,51,55,52,0
2023,35,10,52,0
2023,40,48,52,0
2023,32,35,52,0
2023,37,35,52,0
2023,41,35,52,0
2023,39,40,52,0
2023,38,40,52,0
2023,41,45,52,0
2023,50,0,0,0
2023,47,50,52,0
2023,80,0,0,0
2023,58,0,0,143939
2023,60,0,0,138736
2023,67,0,0,160720
2023,48,80,52,195539
2023,55,0,0,170937
2023,56,0,0,170937
2023,41,40,52,160091
2023,73,0,0,156978
2023,72,30,52,151416
2023,62,38,52,217596
2023,80,0,0,122875
2023,74,0,0,132676
2023,38,40,51,247865
2023,59,50,52,143939
2023,63,50,52,143735
2023,78,0,0,122875
2023,72,0,0,117760
2023,85,0,0,127683
2023,85,0,0,137762
2023,65,0,0,121243
2023,72,0,0,117754
2023,44,0,0,233641
2023,41,40,26,233641
2023,53,52,52,160276
2023,53,45,52,175626
2023,85,0,0,127965
2023,68,35,52,120624
2023,57,60,32,153710
2023,59,40,52,153710
2023,62,40,52,132585
2023,85,0,0,131451
2023,45,0,0,140491
2023,42,40,52,223813
2023,40,40,52,160082
2023,60,60,52,198808
2023,62,30,12,217584
2023,36,0,0,167374
2023,80,0,0,136223
2023,69,24,52,120898
2023,75,0,0,131749
2023,80,0,0,123147
2023,61,40,52,172165
2023,67,40,52,138692
2023,78,0,0,146571
2023,85,0,0,133873
2023,41,40,52,160764
2023,32,35,52,161471
2023,63,0,0,152419
2023,66,42,52,167968
2023,85,0,0,135761
2023,85,0,0,133570
2023,27,18,18,188968
2023,31,40,52,256183
2023,34,40,52,163999
2023,41,40,40,224321
2023,44,55,52,160399
2023,42,35,52,151648
2023,32,60,52,269224
2023,39,50,52,219022
2023,38,0,0,0
2023,45,0,0,0
2023,51,0,0,0
2023,46,40,52,0
2023,44,40,52,0
2023,71,0,0,0
2023,38,35,21,0
2023,53,50,52,0
2023,51,0,0,0
2023,48,30,52,0
2023,23,0,0,0
2023,22,50,52,0
2023,41,0,0,0
2023,38,52,52,0
2023,65,0,0,0
2023,64,0,0,0
2023,54,20,52,0
2023,34,20,12,0
2023,32,0,0,0
2023,36,40,52,0
2023,31,40,52,0
2023,85,0,0,123147
2023,44,0,0,234171
2023,54,0,0,186547
2023,59,0,0,165324
2023,71,40,28,132669
2023,61,0,0,126208
2023,60,0,0,126208
2023,72,24,52,109114
2023,75,35,52,122868
2023,67,0,0,121243
2023,75,0,0,122868
2023,64,0,0,143726
2023,61,32,52,138728
2023,73,0,0,140340
2023,58,0,0,170927
2023,72,0,0,140659
2023,69,0,0,160711
2023,60,35,52,157058
2023,61,15,51,155571
2023,72,0,0,145658
2023,73,0,0,141204
2023,72,0,0,140659
2023,48,40,52,163879
2023,37,40,52,164190
2023,80,0,0,146571
2023,85,0,0,127675
2023,80,0,0,138066
2023,80,24,52,127965
2023,37,40,52,167754
2023,38,20,52,208066
2023,70,0,0,145658
2023,76,0,0,136069
2023,26,30,52,188540
2023,52,99,48,175774
2023,60,40,52,218078
2023,60,0,0,218078
2023,48,50,52,129055
2023,52,20,26,140050
